,Created_at,user_id,screen_name,tweetText,reply_status_id,reply_to_screen_named,lang,retweeted,place,reply_user_id,hashtags
0,2022-07-10 05:15:45+00:00,1.43293E+18,RedMatrix4T,"#RedMatrix4T 

#NoticiasEnMéxico #DiloEn2Minutos 
  
""Me canso ganso"", afirmó el Presidente de México Andrés Manuel #AMLO @lopezobrador_

#4T 
#FuerzaPresidente
#EsUnHonorEstarConObrador https://t.co/oNpYz5X5F6",,,es,False,null,0,"['RedMatrix4T', 'NoticiasEnMéxico', 'DiloEn2Minutos', 'AMLO', '4T', 'FuerzaPresidente', 'EsUnHonorEstarConObrador']"
1,2022-07-09 05:15:56+00:00,1.43293E+18,RedMatrix4T,"#RedMatrix4T 

#NoticiasEnMéxico #DiloEn2Minutos 
  
 ""Me patea el hígado saber que organismos internacionales nos colocan en el sitio 135 de corrupción"", afirmó el Presidente de México Andrés Manuel #AMLO @lopezobrador_

#4T 
#FuerzaPresidente
#EsUnHonorEstarConObrador https://t.co/gMbfAGCbQX",,,es,False,null,0,"['RedMatrix4T', 'NoticiasEnMéxico', 'DiloEn2Minutos', 'AMLO', '4T', 'FuerzaPresidente', 'EsUnHonorEstarConObrador']"
2,2022-07-08 05:29:18+00:00,1.43293E+18,RedMatrix4T,"#RedMatrix4T 

#NoticiasEnMéxico #DiloEn2Minutos 
  
""No le vamos a fallar al pueblo de México"", afirmó el Presidente de México Andrés Manuel #AMLO @lopezobrador_

#4T 
#FuerzaPresidente
#EsUnHonorEstarConObrador https://t.co/axIEsjmpSd",,,es,False,null,0,"['RedMatrix4T', 'NoticiasEnMéxico', 'DiloEn2Minutos', 'AMLO', '4T', 'FuerzaPresidente', 'EsUnHonorEstarConObrador']"
3,2022-07-07 05:19:50+00:00,1.43293E+18,RedMatrix4T,"#RedMatrix4T 

#NoticiasEnMéxico #DiloEn2Minutos 
  
""En 100 días vamos a terminar de desatar toda la acción transformadora"", afirmó el Presidente de México Andrés Manuel #AMLO @lopezobrador_

#4T 
#FuerzaPresidente
#EsUnHonorEstarConObrador https://t.co/DPZmYE8aAv",,,es,False,null,0,"['RedMatrix4T', 'NoticiasEnMéxico', 'DiloEn2Minutos', 'AMLO', '4T', 'FuerzaPresidente', 'EsUnHonorEstarConObrador']"
4,2022-07-06 23:40:05+00:00,2458536554,dn_chairo,@lopezobrador_ #EsUnHonorEstarConObrador #AMLOTuPuebloTeLoAgradece #AmloNoEstasSolo #AMLOLujoDePresidente #la4tAvanza #FuerzaPresidente #TenganParaQueAprendan todos unidos contra #ElCartelDelPeriodismo #PrensaBasura,1.54E+18,lopezobrador_,es,False,null,82119937,"['EsUnHonorEstarConObrador', 'AMLOTuPuebloTeLoAgradece', 'AmloNoEstasSolo', 'AMLOLujoDePresidente', 'la4tAvanza', 'FuerzaPresidente', 'TenganParaQueAprendan', 'ElCartelDelPeriodismo', 'PrensaBasura']"
5,2022-07-06 22:05:41+00:00,70735009,mxmg,"@T13 No se puede creer en las encuestas. Donde vaya la gente lo ama. A Piñera, aunq cerraran las calles como dicen los picados en estos comentarios, le llegaban gritos y pifias igual! 
#FuerzaPresidente",1.54E+18,T13,es,False,null,24952459,['FuerzaPresidente']
6,2022-07-06 05:16:46+00:00,1.43293E+18,RedMatrix4T,"#RedMatrix4T 

#NoticiasEnMéxico #DiloEn2Minutos 
  
""No es un cambio de gobierno, es un cambio de régimen"", afirmó el Presidente de México Andrés Manuel #AMLO @lopezobrador_

#4T 
#FuerzaPresidente
#EsUnHonorEstarConObrador https://t.co/SnMuIFG93u",,,es,False,null,0,"['RedMatrix4T', 'NoticiasEnMéxico', 'DiloEn2Minutos', 'AMLO', '4T', 'FuerzaPresidente', 'EsUnHonorEstarConObrador']"
7,2022-07-05 05:14:05+00:00,1.43293E+18,RedMatrix4T,"#RedMatrix4T 

#NoticiasEnMéxico #DiloEn2Minutos 
  
""Tengo motivos para estar optimista"", afirmó el Presidente de México Andrés Manuel #AMLO @lopezobrador_

#4T 
#FuerzaPresidente
#EsUnHonorEstarConObrador https://t.co/dgBzbrYRxp",,,es,False,null,0,"['RedMatrix4T', 'NoticiasEnMéxico', 'DiloEn2Minutos', 'AMLO', '4T', 'FuerzaPresidente', 'EsUnHonorEstarConObrador']"
8,2022-07-04 21:47:02+00:00,2686861946,malu_mendezt,"Amo la sonrisa de mi cabecita de algodón... Y luego la carcajada!
🤣🤣🤣 Discreta pero tan reveladora!! #FuerzaPresidente
#AmloElMejorPresidenteDelMundo #AMLOvers #AMLOLujoDePresidente https://t.co/VgvzOxUc7i",,,es,False,null,0,"['FuerzaPresidente', 'AmloElMejorPresidenteDelMundo', 'AMLOvers', 'AMLOLujoDePresidente']"
9,2022-07-04 05:13:01+00:00,1.43293E+18,RedMatrix4T,"#RedMatrix4T 

#NoticiasEnMéxico #DiloEn2Minutos 
  
""No más corrupción en la construcción del país"", afirmó el Presidente de México Andrés Manuel #AMLO @lopezobrador_

#4T 
#FuerzaPresidente
#EsUnHonorEstarConObrador https://t.co/BAbhDn3C3l",,,es,False,null,0,"['RedMatrix4T', 'NoticiasEnMéxico', 'DiloEn2Minutos', 'AMLO', '4T', 'FuerzaPresidente', 'EsUnHonorEstarConObrador']"
